457250 103000 313.7
457750 103010 301.9
458250 103020 303.3
458750 103030 306.3
459250 103040 310.2
457500 103055 307.4
458000 103065 303.8
458500 103075 302.5
459000 103085 306.1
457250 103100 318.5
457750 103110 302.7
458250 103120 305.3
458750 103130 304.6
459250 103140 309.9
457500 103155 310.2
458000 103165 304.1
458500 103175 302.7
459000 103185 303.8
457250 103200 339.7
457750 103210 302.2
458250 103220 306.7
458750 103230 303.5
459250 103240 309.3
457500 103255 317.2
458000 103265 307.9
458500 103275 302.7
459000 103285 305.1
457250 103300 360.7
457750 103310 302.6
458250 103320 307.3
458750 103330 303.4
459250 103340 308
457500 103355 326
458000 103365 307
458500 103375 303.3
459000 103385 306.1
457250 103400 345.8
457750 103410 303.6
458250 103420 307
458750 103430 304
459250 103440 307.1
457500 103455 312.1
458000 103465 311.6
458500 103475 304.3
459000 103485 304
457250 103500 334.9
457750 103510 303.6
458250 103520 306.8
458750 103530 304.3
459250 103540 306.8
457500 103555 314.9
458000 103565 305.3
458500 103575 304.7
459000 103585 305.6
457250 103600 328.8
457750 103610 303.1
458250 103620 305.9
458750 103630 304.7
459250 103640 306.8
457500 103655 310
458000 103665 305.9
458500 103675 305.3
459000 103685 304.6
457250 103700 333.8
457750 103710 305.4
458250 103720 306.4
458750 103730 305.6
459250 103740 307.2
457500 103755 310.3
458000 103765 306.5
458500 103775 305.9
459000 103785 306.3
457250 103800 328.6
457750 103810 305.7
458250 103820 306.7
458750 103830 306.6
459250 103840 306.8
457500 103855 309.2
458000 103865 307.1
458500 103875 308.1
459000 103885 306.7
457250 103900 317.8
457750 103910 306.1
458250 103920 307
458750 103930 307.2
459250 103940 306.6
457500 103955 308.7
458000 103965 307.3
458500 103975 307.5
459000 103985 306.9
457250 104000 313.8
457750 104010 307
458250 104020 307.6
458750 104030 307.7
459250 104040 307.2
457500 104055 308.2
458000 104065 307.8
458500 104075 308.4
459000 104085 307.2
457250 104100 313.8
457750 104110 307.3
458250 104120 308.1
458750 104130 308.3
459250 104140 307.2
457500 104155 308.4
458000 104165 307.5
458500 104175 310.5
459000 104185 308.2
457250 104200 313.3
457750 104210 308
458250 104220 308.7
458750 104230 309.3
459250 104240 305.6
457500 104255 311.3
458000 104265 308.2
458500 104275 310.2
459000 104285 308.3
457250 104300 313.6
457750 104310 308.4
458250 104320 309.7
458750 104330 310
459250 104340 306.9
457500 104355 309.8
458000 104365 311.2
458500 104375 310.7
459000 104385 308.4
457250 104400 316
457750 104410 310.6
458250 104420 310.6
458750 104430 310.4
459250 104440 307.5
457500 104455 312.1
458000 104465 316.8
458500 104475 312.1
459000 104485 308.9
457250 104500 320.9
457750 104510 313.2
458250 104520 311.2
458750 104530 311.1
459250 104540 308.4
457500 104555 311.9
458000 104565 323.9
458500 104575 314.3
459000 104585 309.1
457250 104600 322.4
457750 104610 314.5
458250 104620 311.6
458750 104630 312.5
459250 104640 309.2
457500 104655 327.4
458000 104665 325.7
458500 104675 315.8
459000 104685 310.4
457250 104700 320.3
457750 104710 317.2
458250 104720 315.1
458750 104730 313.7
459250 104740 309.6
457500 104755 319.6
458000 104765 331.4
458500 104775 316.7
459000 104785 312
457250 104800 322.6
457750 104810 320.5
458250 104820 317.8
458750 104830 314
